Unique ID,Bill No,Ref Doc ID,Business Date,Created Date,Area,Branch,User Name,Mobile,Sale Items,Ambience,Cleanliness,Availability,Staff,Recommend
MOCK-1,B-1001,REF-2001,01-03-2026,2026-03-01 12:00:00,Nagpur City,AJNI ABIS,User 1,9876540001,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-2,B-1002,REF-2002,02-04-2026,2026-04-02 12:00:00,Nagpur City,AJNI ABIS,User 2,9876540002,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-3,B-1003,REF-2003,03-05-2026,2026-05-03 12:00:00,Nagpur City,AJNI ABIS,User 3,9876540003,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
MOCK-4,B-1004,REF-2004,04-06-2026,2026-06-04 12:00:00,Nagpur City,AJNI ABIS,User 4,9876540004,Chicken Meat,Good,Good,Good,Good,Probably not
MOCK-5,B-1005,REF-2005,05-03-2026,2026-03-05 12:00:00,Nagpur City,AJNI ABIS,User 5,9876540005,Chicken Meat,Good,Good,Good,Good,Definitely not
MOCK-6,B-1006,REF-2006,06-04-2026,2026-04-06 12:00:00,Nagpur City,AJNI ABIS,User 6,9876540006,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-7,B-1007,REF-2007,07-05-2026,2026-05-07 12:00:00,Nagpur City,AJNI ABIS,User 7,9876540007,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-8,B-1008,REF-2008,08-06-2026,2026-06-08 12:00:00,Nagpur City,AJNI ABIS,User 8,9876540008,Chicken Meat,Good,Good,Good,Good,Definitely Yes
MOCK-9,B-1009,REF-2009,09-03-2026,2026-03-09 12:00:00,Nagpur City,AJNI ABIS,User 9,9876540009,Chicken Meat,Good,Good,Good,Good,Probably Yes
MOCK-10,B-1010,REF-2010,10-04-2026,2026-04-10 12:00:00,Nagpur City,AJNI ABIS,User 10,9876540010,Chicken Meat,Good,Good,Good,Good,Somewhat Likely
